timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1610578326363,249,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-1,text,false,,2058,0,1,1,0,0,248
1610578326626,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-1,text,false,,2058,0,1,1,0,0,2
1610578326629,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-1,text,false,,2058,0,1,1,0,0,1
1610578326631,14,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-1,text,false,,2058,0,1,1,0,0,14
1610578326646,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-1,text,false,,2058,0,1,1,0,0,1
1610578327057,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-2,text,false,,2058,0,1,1,0,0,1
1610578327059,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-2,text,false,,2058,0,1,1,0,0,2
1610578327061,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-2,text,false,,2058,0,1,1,0,0,2
1610578327063,3,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-2,text,false,,2058,0,1,1,0,0,3
1610578327068,3,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-2,text,false,,2058,0,1,1,0,0,3
1610578328061,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-3,text,false,,2058,0,1,1,0,0,1
1610578328064,7,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-3,text,false,,2058,0,1,1,0,0,7
1610578328071,8,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-3,text,false,,2058,0,1,1,0,0,8
1610578328081,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-3,text,false,,2058,0,1,1,0,0,0
1610578328082,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-3,text,false,,2058,0,1,1,0,0,1
1610578329058,3,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-4,text,false,,2058,0,1,1,0,0,3
1610578329063,5,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-4,text,false,,2058,0,1,1,0,0,5
1610578329070,4,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-4,text,false,,2058,0,1,1,0,0,4
1610578329075,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-4,text,false,,2058,0,1,1,0,0,2
1610578329078,3,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-4,text,false,,2058,0,1,1,0,0,2
1610578330061,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-5,text,false,,2058,0,1,1,0,0,2
1610578330064,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-5,text,false,,2058,0,1,1,0,0,2
1610578330067,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-5,text,false,,2058,0,1,1,0,0,0
1610578330069,3,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-5,text,false,,2058,0,1,1,0,0,3
1610578330073,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-5,text,false,,2058,0,1,1,0,0,2
1610578331061,3,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-6,text,false,,2058,0,1,1,0,0,2
1610578331064,3,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-6,text,false,,2058,0,1,1,0,0,3
1610578331068,3,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-6,text,false,,2058,0,1,1,0,0,3
1610578331071,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-6,text,false,,2058,0,1,1,0,0,1
1610578331073,21,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-6,text,false,,2058,0,1,1,0,0,21
1610578332060,5,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-7,text,false,,2058,0,1,1,0,0,5
1610578332066,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-7,text,false,,2058,0,1,1,0,0,1
1610578332068,5,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-7,text,false,,2058,0,1,1,0,0,5
1610578332074,0,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-7,text,false,,2058,0,1,1,0,0,0
1610578332075,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-7,text,false,,2058,0,1,1,0,0,1
1610578333059,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-8,text,false,,2058,0,1,1,0,0,1
1610578333061,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-8,text,false,,2058,0,1,1,0,0,1
1610578333063,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-8,text,false,,2058,0,1,1,0,0,2
1610578333066,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-8,text,false,,2058,0,1,1,0,0,2
1610578333069,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-8,text,false,,2058,0,1,1,0,0,1
1610578334060,5,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-9,text,false,,2058,0,1,1,0,0,5
1610578334066,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-9,text,false,,2058,0,1,1,0,0,1
1610578334070,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-9,text,false,,2058,0,1,1,0,0,2
1610578334073,7,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-9,text,false,,2058,0,1,1,0,0,7
1610578334080,3,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-9,text,false,,2058,0,1,1,0,0,3
1610578335058,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-10,text,false,,2058,0,1,1,0,0,1
1610578335060,1,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-10,text,false,,2058,0,1,1,0,0,1
1610578335061,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-10,text,false,,2058,0,1,1,0,0,2
1610578335063,2,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-10,text,false,,2058,0,1,1,0,0,2
1610578335066,5,HTTP Request,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connexion refusée (Connection refused),Thread Group 1-10,text,false,,2058,0,1,1,0,0,4
